309.731, 129.489, 3.986,  4.379 False
309.597, 129.489, 4.015,  4.412 False
309.463, 129.488, 4.047,  4.445 False
309.327, 129.488, 4.077,  4.478 False
309.190, 129.488, 4.108,  4.511 False
309.053, 129.488, 4.137,  4.544 False
308.914, 129.488, 4.169,  4.577 False
308.774, 129.488, 4.198,  4.610 False
308.634, 129.488, 4.229,  4.643 False
308.492, 129.488, 4.259,  4.676 False
308.349, 129.488, 4.290,  4.709 False
308.206, 129.488, 4.320,  4.742 False
308.061, 129.488, 4.351,  4.775 False
307.915, 129.488, 4.381,  4.808 False
307.768, 129.488, 4.412,  4.841 False
307.620, 129.488, 4.441,  4.874 False
307.472, 129.487, 4.473,  4.907 False
307.322, 129.487, 4.502,  4.940 False
307.171, 129.487, 4.533,  4.973 False
307.019, 129.489, 4.562,  5.006 False
306.866, 129.489, 4.593,  5.039 False
306.712, 129.489, 4.622,  5.072 False
306.558, 129.489, 4.654,  5.105 False
306.402, 129.489, 4.683,  5.138 False
306.245, 129.490, 4.715,  5.171 False
306.087, 129.490, 4.744,  5.204 False
305.928, 129.490, 4.775,  5.237 False
305.768, 129.490, 4.804,  5.270 False
305.607, 129.490, 4.835,  5.303 False
305.445, 129.490, 4.864,  5.336 False
305.282, 129.490, 4.895,  5.369 False
305.119, 129.490, 4.924,  5.402 False
304.954, 129.491, 4.955,  5.435 False
304.788, 129.491, 4.984,  5.468 False
304.621, 129.491, 5.016,  5.501 False
304.453, 129.491, 5.044,  5.534 False
304.284, 129.491, 5.075,  5.567 False
304.114, 129.491, 5.104,  5.600 False
303.943, 129.491, 5.136,  5.633 False
303.771, 129.491, 5.164,  5.666 False
303.598, 129.491, 5.196,  5.699 False
303.425, 129.497, 5.200,  5.732 False
303.252, 129.508, 5.205,  5.765 False
303.079, 129.520, 5.208,  5.798 False
302.905, 129.533, 5.212,  5.831 False
302.732, 129.547, 5.222,  5.864 False
302.558, 129.563, 5.243,  5.897 False
302.383, 129.578, 5.275,  5.930 False
302.207, 129.592, 5.314,  5.963 False
302.029, 129.608, 5.350,  5.996 False
301.850, 129.625, 5.392,  6.029 False
301.670, 129.642, 5.431,  6.062 False
301.489, 129.660, 5.475,  6.095 False
301.307, 129.682, 5.508,  6.128 False
301.123, 129.705, 5.551,  6.161 False
300.939, 129.730, 5.589,  6.194 False
300.753, 129.757, 5.631,  6.227 False
300.566, 129.782, 5.676,  6.260 False
300.377, 129.807, 5.718,  6.293 False
300.187, 129.833, 5.752,  6.326 False
299.997, 129.859, 5.785,  6.359 False
299.805, 129.885, 5.816,  6.392 False
299.612, 129.910, 5.848,  6.425 False
299.418, 129.935, 5.877,  6.458 False
299.223, 129.961, 5.907,  6.491 False
299.027, 129.987, 5.937,  6.524 False
298.830, 130.013, 5.969,  6.557 False
298.632, 130.039, 6.000,  6.590 False
298.433, 130.066, 6.033,  6.623 False
298.233, 130.092, 6.065,  6.656 False
298.032, 130.119, 6.098,  6.689 False
297.830, 130.147, 6.129,  6.722 False
297.627, 130.174, 6.163,  6.755 False
297.422, 130.202, 6.194,  6.788 False
297.217, 130.229, 6.227,  6.821 False
297.010, 130.257, 6.257,  6.854 False
296.803, 130.284, 6.290,  6.887 False
296.595, 130.312, 6.319,  6.920 False
296.385, 130.340, 6.352,  6.953 False
